"","dataverse","id","identifier","persistentUrl","protocol","authority","publisher","publicationDate","versionState","lastUpdateTime","releaseTime","createTime","license","termsOfUse","title","author","datasetContact","dsDescription","notesText","subject","productionDate","productionPlace","depositor","dateOfDeposit","downloadCount","contentSize (MB)"
"11","chatino","428","ASU4TG","https://doi.org/10.18738/T8/ASU4TG","doi","10.18738/T8","Texas Data Repository Dataverse","2018-03-17","RELEASED","2018-03-18T00:35:32Z","2018-03-18T00:35:32Z","2017-12-15T21:01:21Z","CC0","CC0 Waiver","Persuasion and positional verbs in San Juan Quiahije Eastern Chatino verbal art","Cruz, Hilaria - University of Texas at Austin","Sullivant, John - University of Texas at Austin - sullivant@austin.utexas.edu","A paper presented at a meeting of the Linguistic Society of America in Boston in January 2013. In it, the author describes the positional (or postural) verbs of Quiahije Chatino and explains some of their uses in rhetoric. These themes were built upon in the author's Ph.D. dissertation.",NA,"Social Sciences, Other","2013","Mexico and United States","Sullivant, John","2017-12-15","1","0.42241668701171875"
"12","chatino","429","0VXSGP","https://doi.org/10.18738/T8/0VXSGP","doi","10.18738/T8","Texas Data Repository Dataverse","2018-03-17","RELEASED","2018-03-18T00:35:07Z","2018-03-18T00:35:07Z","2017-12-15T21:09:19Z","CC0","CC0 Waiver","Parallelism and ellipsis in Chatino speech: The borders of poetry and grammar","Cruz, Hilaria - University of Texas at Austin ; Cruz, Hilaria - University of Texas at AustinWoodbury, Anthony C. - University of Texas at Austin","Sullivant, John - University of Texas at Austin - sullivant@austin.utexas.edu","A handout of a talk given at the conference Symposium About Language and Society - Austin (SALSA) 28: Speech Play and Verbal Art: A Conference in Honor of Joel Sherzer held March 26-28, 2010. The paper marks an early demonstration of the frame tag as a method for describing Quiahije Chatino's rhetorical device of parallelism and ellipsis. This research was continued by the first author and culminated in her Ph.D. dissertation.",NA,"Social Sciences, Other","2010","Mexico and United States","Sullivant, John","2017-12-15","1","0.26641368865966797"
"13","chatino","430","GVL6ZD","https://doi.org/10.18738/T8/GVL6ZD","doi","10.18738/T8","Texas Data Repository Dataverse","2018-03-17","RELEASED","2018-03-18T00:21:04Z","2018-03-18T00:21:04Z","2017-12-15T21:14:20Z","CC0","CC0 Waiver","Chatino situation types","Cruz, Hilaria - University of Texas at Austin","Sullivant, John - University of Texas at Austin - sullivant@austin.utexas.edu","A class paper for Carlota Smith's course Aspect and Tense: Time in Language. In it, the author describes some of the temporal semantics of different aspect/mood categories for Quiahije Eastern Chatino verbs.",NA,"Social Sciences, Other","2007","Mexico and United States","Sullivant, John","2017-12-15","0","0.19588565826416016"
"14","chatino","431","ZQZNQG","https://doi.org/10.18738/T8/ZQZNQG","doi","10.18738/T8","Texas Data Repository Dataverse","2018-03-17","RELEASED","2018-03-18T00:34:41Z","2018-03-18T00:34:41Z","2017-12-15T21:17:59Z","CC0","CC0 Waiver","Notion of base in some motion verbs in SJQ","Cruz, Hilaria - University of Texas at Austin","Sullivant, John - University of Texas at Austin - sullivant@austin.utexas.edu","A paper prepared for John Beavers' course Lexical Semantic Typology. In it, the author describes the semantics associated with three verbs of motion  in Quiahije Eastern Chatino which, like other Otomanguean languages of Oaxaca, makes reference to a deictic base that is distinct from the speaker.",NA,"Social Sciences, Other","2008","Mexico and United States","Sullivant, John","2017-12-15","1","0.7600612640380859"
"15","chatino","432","4813VQ","https://doi.org/10.18738/T8/4813VQ","doi","10.18738/T8","Texas Data Repository Dataverse","2018-03-17","RELEASED","2018-03-18T00:34:17Z","2018-03-18T00:34:17Z","2017-12-15T21:21:53Z","CC0","CC0 Waiver","Interrogative constructions in San Juan Quiahije Chatino","Cruz, Hilaria - University of Texas at Austin","Sullivant, John - University of Texas at Austin - sullivant@austin.utexas.edu","A paper written for Nora England's course Reading and Writing Grammars during the spring of 2008. In it the author describes several kinds of interrogative constructions in Quiahije Eastern Chatino.",NA,"Social Sciences, Other","2008","Mexico and United States","Sullivant, John","2017-12-15","0","0.13154125213623047"
"16","chatino","433","FKTPIP","https://doi.org/10.18738/T8/FKTPIP","doi","10.18738/T8","Texas Data Repository Dataverse","2018-03-17","RELEASED","2018-03-18T00:33:50Z","2018-03-18T00:33:50Z","2017-12-15T21:25:27Z","CC0","CC0 Waiver","Tonal complexity in San Juan Quiahije Eastern Chatino compound verb inflection","Cruz, Emiliana - University of Texas at Austin ; Cruz, Emiliana - University of Texas at AustinWoodbury, Anthony C. - University of Texas at Austin","Sullivant, John - University of Texas at Austin - sullivant@austin.utexas.edu","A handout for a talk given at the meeting of the Society for the Study of the Indigenous Languages of the Americas in Boston on January 6, 2013.",NA,"Social Sciences, Other","2013","Mexico and United States","Sullivant, John","2017-12-15","0","0.41533470153808594"
"17","chatino","434","7CUCM8","https://doi.org/10.18738/T8/7CUCM8","doi","10.18738/T8","Texas Data Repository Dataverse","2018-03-17","RELEASED","2018-03-18T00:33:25Z","2018-03-18T00:33:25Z","2017-12-15T21:30:19Z","CC0","CC0 Waiver","Del proto-zapotecano al proto-chatino","Campbell, Eric - University of Texas at Austin","Sullivant, John - University of Texas at Austin - sullivant@austin.utexas.edu","A handout for a talk given at the Fifth Conference on the Indigenous Languages of Latin America on October 7, 2011 in Austin, Texas. In it, the author discusses several of the historical sound changes that Proto-Zapotecan (the immediate ancestor of the Zapotec and Chatino languages) must have undergone to arrive at the forms reconstructed for Proto-Chatino, based on data from the modern Chatino languages and reconstructions of Proto-Chatino and Proto-Zapotec.",NA,"Social Sciences, Other","2011","Mexico and United States","Sullivant, John","2017-12-15","1","0.4843873977661133"
"18","chatino","435","CRLHCI","https://doi.org/10.18738/T8/CRLHCI","doi","10.18738/T8","Texas Data Repository Dataverse","2018-03-17","RELEASED","2018-03-18T00:30:12Z","2018-03-18T00:30:12Z","2017-12-15T21:36:03Z","CC0","CC0 Waiver","Tone alignment in San Juan Quiahije Chatino","Sullivant, J. Ryan - University of Texas at Austin - ORCID - https://orcid.org/0000-0002-3968-7693","Sullivant, John - University of Texas at Austin - sullivant@austin.utexas.edu","A handout for a talk given at the meeting of the Linguistic Association of the Southwest (LASSO) on October 1, 2011 on South Padre Island, Texas. In it, the author argues for a treatment of Quiahije Eastern Chatino tones as having early or late pitch targets based on reported tone confusability, tonal simplifications when followed by tonal clitics, and F0 interpolation between pitch targets.",NA,"Social Sciences, Other","2011","Mexico and United States","Sullivant, John","2017-12-15","1","0.8679628372192383"
"19","chatino","436","9ON0VB","https://doi.org/10.18738/T8/9ON0VB","doi","10.18738/T8","Texas Data Repository Dataverse","2018-03-17","RELEASED","2018-03-18T00:29:33Z","2018-03-18T00:29:33Z","2017-12-15T21:40:03Z","CC0","CC0 Waiver","Tone in San Juan Quiahije Chatino verb inflection for person and number","Woodbury, Anthony C. - University of Texas at Austin","Sullivant, John - University of Texas at Austin - sullivant@austin.utexas.edu","A paper (in landscape orientation) that discusses the tonal exponents of person and number inflection on verbal stems in Quiahije Eastern Chatino.",NA,"Social Sciences, Other","2008","Mexico and United States","Sullivant, John","2017-12-15","0","0.2982454299926758"
"20","chatino","437","VCUJQR","https://doi.org/10.18738/T8/VCUJQR","doi","10.18738/T8","Texas Data Repository Dataverse","2018-03-17","RELEASED","2018-03-18T00:29:04Z","2018-03-18T00:29:04Z","2017-12-15T21:43:59Z","CC0","CC0 Waiver","Ditransitivos en el chatino oriental","Cruz, Emiliana - University of Texas at Austin ; Cruz, Emiliana - University of Texas at AustinCruz, Hilaria - University of Texas at Austin ; Cruz, Emiliana - University of Texas at AustinCruz, Hilaria - University of Texas at AustinFigueroa, Reginaldo - Santa Lucía Teotepec ; Cruz, Emiliana - University of Texas at AustinCruz, Hilaria - University of Texas at AustinFigueroa, Reginaldo - Santa Lucía TeotepecMcIntosh, Justin D. - University of Texas at Austin ; Cruz, Emiliana - University of Texas at AustinCruz, Hilaria - University of Texas at AustinFigueroa, Reginaldo - Santa Lucía TeotepecMcIntosh, Justin D. - University of Texas at AustinWoodbury, Camille - University of Pennsylvania ; Cruz, Emiliana - University of Texas at AustinCruz, Hilaria - University of Texas at AustinFigueroa, Reginaldo - Santa Lucía TeotepecMcIntosh, Justin D. - University of Texas at AustinWoodbury, Camille - University of PennsylvaniaWoodbury, Anthony C. - University of Texas at Austin","Sullivant, John - University of Texas at Austin - sullivant@austin.utexas.edu","A paper prepared as a result of a workshop on ditransitivity organized by Judith Aissen in San Cristóbal de las Casas in Chiapas, México in August, 2010.",NA,"Social Sciences, Other","2010","Mexico and United States","Sullivant, John","2017-12-15","0","0.610438346862793"
"21","chatino","438","F1IDM3","https://doi.org/10.18738/T8/F1IDM3","doi","10.18738/T8","Texas Data Repository Dataverse","2018-03-17","RELEASED","2018-03-18T00:28:38Z","2018-03-18T00:28:38Z","2017-12-15T21:46:48Z","CC0","CC0 Waiver","An acoustic representation of tone in the Chatino de San Juan Quiahije and suggestions for a tone perception experiment","Sullivant, J. Ryan - University of Texas at Austin - ORCID - https://orcid.org/0000-0002-3968-7693","Sullivant, John - University of Texas at Austin - sullivant@austin.utexas.edu","A class paper discussing some details of Quiahije Chatino tone production.",NA,"Social Sciences, Other","2009","Mexico and United States","Sullivant, John","2017-12-15","0","0.13255786895751953"
"22","chatino","439","YIRZN9","https://doi.org/10.18738/T8/YIRZN9","doi","10.18738/T8","Texas Data Repository Dataverse","2018-03-17","RELEASED","2018-03-18T00:28:10Z","2018-03-18T00:28:10Z","2017-12-15T21:49:32Z","CC0","CC0 Waiver","Towards an account of tonal complexity in Zenzontepec Chatino (Otomanguean) verbal inflection","Campbell, Eric - University of Texas at Austin","Sullivant, John - University of Texas at Austin - sullivant@austin.utexas.edu","A handout for a talk given at the meeting of the Society for the Study of the Indigenous Languages of the Americas in Boston on January 6, 2013.",NA,"Social Sciences, Other","2013","Mexico and United States","Sullivant, John","2017-12-15","0","0.5577802658081055"
"23","chatino","440","9XV8WN","https://doi.org/10.18738/T8/9XV8WN","doi","10.18738/T8","Texas Data Repository Dataverse","2018-03-17","RELEASED","2018-03-18T00:27:40Z","2018-03-18T00:27:40Z","2017-12-15T21:54:50Z","CC0","CC0 Waiver","Yaitepec Chatino verb inflection tone","Woodbury, Anthony C. - University of Texas at Austin","Sullivant, John - University of Texas at Austin - sullivant@austin.utexas.edu","A paper analyzing the tone ablaut inflection patterns of Yaitepec Eastern Chatino based on a 300-item database created by Jeff Rasch.",NA,"Social Sciences, Other","2008","Mexico and United States","Sullivant, John","2017-12-15","0","0.1127777099609375"
"24","chatino","441","0SL6NE","https://doi.org/10.18738/T8/0SL6NE","doi","10.18738/T8","Texas Data Repository Dataverse","2018-03-17","RELEASED","2018-03-18T00:27:10Z","2018-03-18T00:27:10Z","2017-12-15T22:05:41Z","CC0","CC0 Waiver","The typology of tone in San Marcos Zacatepec Eastern Chatino","Villard, Stéphanie - University of Texas at Austin ; Villard, Stéphanie - University of Texas at AustinWoodbury, Anthony C. - University of Texas at Austin","Sullivant, John - University of Texas at Austin - sullivant@austin.utexas.edu","A handout for a talk given at the meeting of the Society for the Study of the Indigenous Languages of the Americas in Portland, Oregon on January 6, 2012.",NA,"Social Sciences, Other","2012","Mexico and United States","Sullivant, John","2017-12-15","2","0.27247142791748047"
"25","chatino","442","ZHBD9I","https://doi.org/10.18738/T8/ZHBD9I","doi","10.18738/T8","Texas Data Repository Dataverse","2018-03-17","RELEASED","2018-03-18T00:26:44Z","2018-03-18T00:26:44Z","2017-12-15T22:09:37Z","CC0","CC0 Waiver","La tonología verbal en el chatino oriental de Zacatepec","Villard, Stéphanie - University of Texas at Austin","Sullivant, John - University of Texas at Austin - sullivant@austin.utexas.edu","A handout (in landscape orientation) for a talk given at the Twelfth Encuentro Internacional de Lingüística en el Noroeste held in Sonora, Mexico on November 15, 2012.",NA,"Social Sciences, Other","2012","Mexico and United States","Sullivant, John","2017-12-15","0","0.2897024154663086"
"26","chatino","443","GGE2PG","https://doi.org/10.18738/T8/GGE2PG","doi","10.18738/T8","Texas Data Repository Dataverse","2018-03-17","RELEASED","2018-03-18T00:20:08Z","2018-03-18T00:20:08Z","2017-12-15T22:12:37Z","CC0","CC0 Waiver","Zenzontepec Chatino ethnobiological classification","Campbell, Eric - University of Texas at Austin","Sullivant, John - University of Texas at Austin - sullivant@austin.utexas.edu","A draft of a paper discussing the ethnobiological classifications of plants and animals according to the Zenzontepec-Chatino-speaking peoples.",NA,"Social Sciences, Other","2007","Mexico","Sullivant, John","2017-12-15","0","0.17496585845947266"
"27","chatino","642","FCZMRZ","https://doi.org/10.18738/T8/FCZMRZ","doi","10.18738/T8","Texas Data Repository Dataverse","2018-03-17","RELEASED","2018-03-18T00:21:52Z","2018-03-18T00:21:52Z","2018-02-21T03:12:15Z","CC0","CC0 Waiver","Transitivity in Zenzontepec Chatino","Campbell, Eric - University of Texas at Austin","Sullivant, John - University of Texas at Austin - sullivant@austin.utexas.edu","Most verbs in Zapotecan languages exist in pairs (Kaufman, 1987) where
often one verb of the pair is intransitive and the other transitive. This report
will present primary data from Zenzontepec Chatino (ZEN), a Zapotecan
language, that illustrates the various formal ways in which the members
of these verb pairs are related.","Note from the author:
Draft - cite with author's permission 9/09","Social Sciences, Other","2008","Mexico and United States","Sullivant, John","2018-02-20","0","0.19829940795898438"
"28","chatino","643","BGPA1O","https://doi.org/10.18738/T8/BGPA1O","doi","10.18738/T8","Texas Data Repository Dataverse","2018-03-17","RELEASED","2018-03-18T00:26:18Z","2018-03-18T00:26:18Z","2018-02-21T03:24:26Z","CC0","CC0 Waiver","The exuberant tonal system of San Marcos Zacatepec Eastern Chatino","Woodbury, Anthony C. - University of Texas at Austin","Sullivant, John - University of Texas at Austin - sullivant@austin.utexas.edu","A slideshow presentation discussing the phonetics and phonology of Zacatepec Chatino tone sequences and their functions in the lexicon and inflectional morphology. This talk was given at Surrey University and was based on collaborative work with Stéphanie Villard.",NA,"Social Sciences, Other","2014-03-12","Mexico and United States","Sullivant, John","2018-02-20","0","22.31220054626465"
"29","chatino","644","9CC4KZ","https://doi.org/10.18738/T8/9CC4KZ","doi","10.18738/T8","Texas Data Repository Dataverse","2018-03-17","RELEASED","2018-03-18T00:25:38Z","2018-03-18T00:25:38Z","2018-02-21T03:33:19Z","CC0","CC0 Waiver","The astonishing typological diversity of Chatino tone systems: A work in progress","Woodbury, Anthony C. - University of Texas at Austin ; Woodbury, Anthony C. - University of Texas at AustinVillard, Stéphanie - University of Texas at Austin","Sullivant, John - University of Texas at Austin - sullivant@austin.utexas.edu","Materials from a talk given at the 11th Workshop on American Indian Languages at the University of California at Santa Barbara. 

The point of this paper is to describe the typological diversity of tone in the Chatino languages of Oaxaca, Mexico. The initial focus is on one system, the Eastern Chatino of San Marcos Zacatepec; and contrasting focus on the Eastern Chatino of San Juan Quiahije and San Miguel Panixtlahuaca and on Santa Cruz Zenzontepec Chatino.",NA,"Social Sciences, Other","2012-04-27","Mexico and United States","Sullivant, John","2018-02-20","0","7.273733139038086"
"30","chatino","645","IQT2DF","https://doi.org/10.18738/T8/IQT2DF","doi","10.18738/T8","Texas Data Repository Dataverse","2018-03-17","RELEASED","2018-03-18T00:25:03Z","2018-03-18T00:25:03Z","2018-02-21T03:40:22Z","CC0","CC0 Waiver","La diversidad tipológica del tono en los idiomas chatinos","Woodbury, Anthony C. - University of Texas at Austin","Sullivant, John - University of Texas at Austin - sullivant@austin.utexas.edu","A talk given at the 12th Encuentro International de Lingüística en el Noroeste at the Universidad de Sonora in Hermosillo, Mexico.",NA,"Social Sciences, Other","2012-11-16","Mexico and United States","Sullivant, John","2018-02-20","0","9.816817283630371"
"31","chatino","646","SVMBKS","https://doi.org/10.18738/T8/SVMBKS","doi","10.18738/T8","Texas Data Repository Dataverse","2018-03-17","RELEASED","2018-03-18T00:24:31Z","2018-03-18T00:24:31Z","2018-02-21T03:46:54Z","CC0","CC0 Waiver","¿Cómo encontrar los tonos de una lengua otomangue? Lo que aprendí de Thom Smith Stark y de los chatinos","Woodbury, Anthony C. - University of Texas at Austin - ORCID - https://orcid.org/0000-0001-9189-4473","Sullivant, John - University of Texas at Austin - sullivant@austin.utexas.edu","Talk given at the 4th Coloquio sobre Lenguas Otomangues y Vecinas in Oaxaca, Mexico.",NA,"Social Sciences, Other","2010-04-16","Mexico","Sullivant, John","2018-02-20","0","12.153178215026855"
"32","chatino","647","VNO1Q6","https://doi.org/10.18738/T8/VNO1Q6","doi","10.18738/T8","Texas Data Repository Dataverse","2018-03-17","RELEASED","2018-03-18T00:24:01Z","2018-03-18T00:24:01Z","2018-02-21T03:51:40Z","CC0","CC0 Waiver","Sandhi tonal en el chatino oriental de San Marcos Zacatepec","Villard, Stéphanie - University of Texas at Austin","Sullivant, John - University of Texas at Austin - sullivant@austin.utexas.edu","A talk given at the 5th Coloquio sobre Lenguas Otomangues y Vecinas in Oaxaca, Mexico.",NA,"Social Sciences, Other","2012-04-20","Mexico","Sullivant, John","2018-02-20","0","6.3524370193481445"
"33","chatino","648","O3HV9R","https://doi.org/10.18738/T8/O3HV9R","doi","10.18738/T8","Texas Data Repository Dataverse","2018-03-17","RELEASED","2018-03-18T00:23:08Z","2018-03-18T00:23:08Z","2018-02-21T03:56:27Z","CC0","CC0 Waiver","The tones of Tataltepec Chatino","Sullivant, J. Ryan - University of Texas at Austin - ORCID - https://orcid.org/0000-0002-3968-7693","Sullivant, John - University of Texas at Austin - sullivant@austin.utexas.edu","A talk given at a meeting of the Society for the Study of the Indigenous Languages of the Americas in Boston, Massachusetts.",NA,"Social Sciences, Other","2013-01","Mexico and United States","Sullivant, John","2018-02-20","0","5.848980903625488"
"34","chatino","649","V0W5JE","https://doi.org/10.18738/T8/V0W5JE","doi","10.18738/T8","Texas Data Repository Dataverse","2018-03-17","RELEASED","2018-03-18T00:22:35Z","2018-03-18T00:22:35Z","2018-02-21T04:01:23Z","CC0","CC0 Waiver","The emergence from tone of vowel register and graded nasalization in the Eastern Chatino of San Miguel Panixtlahuaca","Kingston, John - University of Massachusetts, Amherst ; Kingston, John - University of Massachusetts, AmherstWoodbury, Anthony C. - University of Texas at Austin - ORCID - https://orcid.org/0000-0001-9189-4473","Sullivant, John - University of Texas at Austin - sullivant@austin.utexas.edu","Talk given at the Workshop on Language Variation and Change at the University of Chicago.",NA,"Social Sciences, Other","2014-04-14","Mexico and United States","Sullivant, John","2018-02-20","0","29.376829147338867"
"35","testMiranker","680","CRBUOB","https://doi.org/10.18738/T8/CRBUOB","doi","10.18738/T8","Texas Data Repository Dataverse","2018-03-08","RELEASED","2018-03-09T01:48:40Z","2018-03-09T01:48:40Z","2018-03-09T01:44:45Z","CC0","CC0 Waiver","This is a test data set","Miranker, Daniel - University of Texas at Austin - ORCID","Miranker, Daniel - University of Texas at Austin - miranker@cs.utexas.edu","An effort at uploading a data set - 2018-03-07",NA,"Astronomy and Astrophysics","2018-03-08","University of Texas GDC","Miranker, Daniel","2018-03-08","1","0.23235321044921875"
